"Net","Name","X Coord","Y Coord","Side","Hole Size","Type"
"SD_DET","EXP2-7","37.1226mm","72.444mm","Bottom","0.9mm","Through hole"
"PB2_(MOSI)","EXP2-6","39.6626mm","69.904mm","Bottom","0.9mm","Through hole"
"BTN_EN1","EXP2-5","39.6626mm","72.444mm","Bottom","0.9mm","Through hole"
"SD_CSEL","EXP2-4","42.2026mm","69.904mm","Bottom","0.9mm","Through hole"
"BTN_EN2","EXP2-3","42.2026mm","72.444mm","Bottom","0.9mm","Through hole"
"PB1_(SCK)","EXP2-2","44.7426mm","69.904mm","Bottom","0.9mm","Through hole"
"PB3_(MISO)","EXP2-1","44.7426mm","72.444mm","Bottom","0.9mm","Through hole"
"BEEPER","EXP1-1","26.5308mm","72.444mm","Bottom","0.9mm","Through hole"
"BTN_ENC","EXP1-2","26.5308mm","69.904mm","Bottom","0.9mm","Through hole"
"LCD_ENA","EXP1-3","23.9908mm","72.444mm","Bottom","0.9mm","Through hole"
"LCD_RS","EXP1-4","23.9908mm","69.904mm","Bottom","0.9mm","Through hole"
"LCD_D4","EXP1-5","21.4508mm","72.444mm","Bottom","0.9mm","Through hole"
"LCD_D5","EXP1-6","21.4508mm","69.904mm","Bottom","0.9mm","Through hole"
"LCD_D6","EXP1-7","18.9108mm","72.444mm","Bottom","0.9mm","Through hole"
"LCD_D7","EXP1-8","18.9108mm","69.904mm","Bottom","0.9mm","Through hole"
"GND","EXP1-9","16.3708mm","72.444mm","Bottom","0.9mm","Through hole"
"+5V","EXP1-10","16.3708mm","69.904mm","Bottom","0.9mm","Through hole"
"+12V","12V-1","40.8178mm","26.3728mm","Bottom","0.9mm","Through hole"
"GND","12V-2","40.8178mm","28.9128mm","Bottom","0.9mm","Through hole"
"+5V","5V-1","42.0624mm","20.4292mm","Bottom","0.9mm","Through hole"
"GND","5V-2","42.0624mm","22.9692mm","Bottom","0.9mm","Through hole"
"GND","PWR-2","44.3484mm","4.7828mm","Bottom","0.9mm","Through hole"
"VIN1","PWR-1","44.3484mm","2.2428mm","Bottom","0.9mm","Through hole"
